COMPANY_FKEY,bank_event
0000320174,2016-05-23
0000320515,2001-06-22
0000320573,2006-12-07
0000320575,2020-03-01
0000350133,2002-11-14
0000350305,2001-02-01
0000350403,2019-03-14
0000350524,2013-05-09
0000350920,2001-01-24
0000351017,2000-02-02
0000351127,2001-04-27
0000351717,2012-02-12
0000351817,2015-12-31
0000352079,2009-04-01
0000352747,2013-07-02
0000352949,2003-04-01
0000353634,2008-12-05
0000353779,2006-03-14
0000353827,2005-07-11
0000354699,2011-03-15
0000354767,2008-04-07
0000355622,2005-04-27
0000355701,2000-08-14
0000356395,2001-06-12
0000356591,2012-03-16
0000356708,2012-06-19
0000356830,2009-07-13
0000357097,2009-06-15
0000357108,2014-09-23
0000701345,2004-09-12
0000701374,2009-06-13
0000701856,2000-06-09
0000701974,2001-07-20
0000703799,2008-04-03
0000704384,2008-11-10
0000704508,2002-11-25
0000705408,2001-10-01
0000708819,2020-01-21
0000709197,1996-01-16
0000711665,2020-10-09
0000713138,2004-03-19
0000713492,2009-01-05
0000714560,2002-08-11
0000714756,2010-08-19
0000715031,2005-09-28
0000715414,2004-02-26
0000715779,2011-06-26
0000716214,2010-10-07
0000716644,2002-12-11
0000716823,2009-03-10
0000716934,2001-01-22
0000717422,2008-09-19
0000717751,2009-10-21
0000718007,2009-04-02
0000719241,2002-12-17
0000719662,2009-03-12
0000720145,2008-07-28
0000720676,1999-06-25
0000721083,1997-10-01
0000721176,2001-04-30
0000721675,2001-09-24
0000722051,2009-05-12
0000722104,2013-10-14
0000722487,2001-07-16
0000722573,2001-05-25
0000722839,2006-07-07
0000723371,2009-01-23
0000723527,2002-07-21
0000723924,2009-02-09
0000724571,2019-09-09
0000724742,2011-11-02
0000725151,2000-04-07
0000725282,2001-10-15
0000725395,2003-01-24
0000726513,2008-12-08
0000726569,1999-11-01
0000726608,2000-01-30
0000726990,2010-10-28
0000727089,2003-05-23
0000727347,2003-09-15
0000727672,2002-09-13
0000727742,2009-01-26
0000728249,2015-09-30
0000728586,2008-09-19
0000729330,2009-02-17
0000730169,2002-09-06
0000731190,2002-01-16
0000731647,2003-03-17
0000731859,2012-08-29
0000732152,2002-02-03
0000733337,2000-08-03
0000736035,2003-07-09
0000737203,2001-08-08
0000737243,2010-12-16
0000737561,2001-11-02
0000737762,2009-03-27
0000737955,2003-01-07
0000738194,2001-07-24
0000739708,2018-03-14
0000739878,2014-06-18
0000741012,2003-10-31
0000741815,2018-08-27
0000742814,2008-12-16
0000743029,2000-12-05
0000743368,2009-04-16
0000744106,2007-08-22
0000744667,2008-12-01
0000744962,2011-08-26
0000745167,2000-08-21
0000745287,2004-09-29
0000745448,2000-08-21
0000745655,2005-03-16
